id,season,episode,title,plot,link
25,3,5,Más,"In a flashback it is revealed that when Walter White gave Jesse Pinkman his savings to buy an RV,[a] he instead spent nearly all of it partying the night away at a strip club with Combo Ortega and Skinny Pete. The following morning, Jesse panics when he realizes that he only has $1,400 left to buy an RV, but Combo bails him out by selling him his mother's RV for the remainder of the money.
Back in the present, Jesse is furious that Walt received the other half of his payment for the meth and calls him to demand it. Walt denies making any sort of deal for half of the profits, but nevertheless tells Jesse that he does not have his permission to cook his formula. Meanwhile, Hank Schrader is still searching tirelessly for the ""rolling meth lab"" RV. He learns that his friend and partner, Steve Gomez, is being sent to El Paso in his stead. Hank is left dismayed by this news but nevertheless remains committed to his work. He returns home and has an argument with Marie Schrader after she shows concern for his well-being, feeling that he is being accused by those around him for simply doing his job.
Walt goes to see Gus Fring at Los Pollos Hermanos, admonishing him for giving him Jesse's half of the money in an attempt to lure Walt into Gus' employ. Gus apologizes for the transparency of the ploy, then asks Walt to take a drive with him. In a final attempt to get Walt to accept the offer, Gus drives him to his meth lab which is discreetly housed within an industrial laundry facility. Walt is impressed by the lab and the equipment within but nevertheless declines the offer again, saying that his time in the meth business has cost him his family and he cannot afford to make another bad decision. Gus firmly tells him that a man provides for his family, regardless of whether or not his family appreciates him for it.
Skyler White keeps enjoying her affair with Ted Beneke and is later told by Marie of Hank's change in behavior. Her sister claims that ""death changes people"", prompting Skyler to reconsider her affair and her opinion about Walt. After finding the large bag of Walt's meth earnings in the house and examining the money therein, Skyler speaks with her divorce attorney and confides in her about the fact that she is currently sleeping with her boss, as well as her doubts on whether Walt did ""what he did"" for the family. Her attorney encourages Skyler to leave him immediately, for the longer she stays with Walt, the more culpable she becomes towards his crimes. Skyler remains hesitant. However, when she gets home, she is surprised to find that Walt has packed his things, including the bag of money, and left the house. He also signed the divorce contract, having finally accepted Gus' offer to continue his work in the meth business.
Walt meets with Jesse in Saul Goodman's office and hands over Jesse's other half of the payment. However, he coldly tells Jesse that it will be the last money he will ever make in the meth business, as Gus was only using Jesse to get Walt working for him. Jesse is further enraged when Saul goes over to Walt's side, re-negotiating a money-laundering deal to secure himself a cut of Walt's profits. Jesse tells them that this won't stop him from cooking, then leaves the office in a fury. He picks up a broken piece of a curb and tosses it into Walt's newly-replaced front windshield.
Hank's search for the RV leads him to the doorstep of Combo's mother, who never reported her RV stolen after Combo sold it to Jesse. Hank searches Combo's room and finds a picture of Combo and Jesse during their night at the strip club, thereby leading Hank to now set his sights on Jesse.
",https://en.wikipedia.org/wiki/M%C3%A1s_(Breaking_Bad)
26,3,6,Sunset,"Walter White settles into his new surroundings and takes a liking to his new lab assistant Gale Boetticher. Jesse Pinkman shows his meth to Badger and Skinny Pete, and enlists them to enter the drug trade alongside him again, promising that they will not make the same mistakes which got Combo killed. The two reluctantly agree. Meanwhile, Hank Schrader is now conducting surveillance on Jesse due to his connection with Combo, believing that the RV of Combo's mother is in his possession. He receives a call from Marie Schrader, who suggests that he ask Walt about it, due to Walt's previous association with Jesse. Hank takes her advice and calls Walt, asking him if he can recall Jesse owning an RV. Instantly alarmed, Walt realizes that he must now dispose of the RV before Hank can find it.
The Cousins show up at Los Pollos Hermanos and sit in a booth, growing increasingly impatient and angry that Gus Fring is still standing in the way of them carrying out their hit on Walt. Gus eventually confronts them and tells them that they will meet at sunset.
Walt drives to Clovis' lot, who is fixing up the RV while chatting with Badger. Walt informs him that the DEA is trying to find the RV and that they must get rid of it. Clovis tells him about Old Joe, a man who owns a junkyard and will be able to destroy the RV with no questions asked. Badger calls Jesse and tells him that Walt is planning to have the RV destroyed, prompting him to rush to the junkyard. Hank follows him.
Walt drives the RV to the junkyard and pays Old Joe to scrap it. An enraged Jesse suddenly shows up, and Walt, horrified, realizes that he has led Hank right to them. The two lock themselves within the RV while Hank tries to force the door open. Old Joe steps in and tells Hank that an RV is a domicile, and therefore, he cannot legally search it without a warrant. Hank relents and phones the DEA office for a warrant. Thinking quickly, Walt calls Saul Goodman for help, who has his secretary, Francesca, call Hank to tell him that Marie has been in a car accident and is being rushed to the hospital in critical condition. Hank leaves the junkyard and rushes to the hospital, but soon after he arrives, he receives a call from Marie and realizes that it was all a hoax. Seething with anger at having been fooled, Hank suddenly has a face of suspicion. With Hank gone, Old Joe scraps the RV as Walt and Jesse watch solemnly.
Gus meets with the Cousins at sunset in a remote location. He tells them again that he will not allow them to kill Walt until his business with him has concluded, but gives them his blessing to instead go after the man who actually pulled the trigger on Tuco Salamanca: Hank.
",https://en.wikipedia.org/wiki/Sunset_(Breaking_Bad)
27,3,7,One Minute,"A flashback in Mexico shows a young Leonel Salamanca complaining to his uncle, Hector, about a toy broken by Leonel's twin brother, Marco, with Leonel proclaiming that he wishes Marco was dead. In response, Hector shoves Marco's head in a tub of icy water despite Leonel's objections, and finally releases him after Leonel punches Hector, while proclaiming, ""La familia es todo"" (family is all). In the present, Leonel and Marco light candles at a makeshift Santa Muerte shrine. In the center, the twins place a photo of Hank Schrader.
Furious that he was tricked into believing that his wife was in the hospital, Hank goes to Jesse Pinkman's house and attacks him as he opens the door. He knocks Jesse out cold before realizing that he has gone too far. Paramedics come and wheel Jesse away to the hospital as Hank stands by in shock. Walter White and Saul Goodman arrive at the hospital and meet Jesse. Walt notes that they would be in jail if they had not tricked Hank after Jesse blames him for his predicament. Jesse claims that he will make Hank's life miserable by suing him and that he will also resume his drug business, adding that if he gets caught, he would simply make a deal with the authorities to sell out Walt. At the DEA, Hank makes a statement about what happened at the junkyard, but pleads the Fifth when it comes to his actions at Jesse's house. He is then informed that Jesse is filing charges for his actions.
Skyler White visits Walt at his condo. He initially believes she is mocking him, but she pleads with him to pacify Jesse so that Hank does not face charges. Walt refuses despite Skyler's assertion that Hank is his family and asks her to leave.
In the desert, Leonel and Marco meet with a trucker hawking an array of weapons. He gives them a free hollow-point bullet and shows off his bulletproof vest, which Leonel and Marco test by shooting him point-blank. When he survives, they purchase two vests and leave.
Later, at the lab, Gale Boetticher attempts to be friendly with Walt, but he gives him the cold shoulder. He forces a disagreement with Gale and later convinces a reluctant Gus Fring to make Jesse his partner again. At the hospital, Walt pitches the job to Jesse, who mocks it as a ploy to save Hank. He initially refuses, citing Walter's previous wrongdoings against him and his criticism of Jesse's meth. Walt admits that Jesse's meth is good, as good as Walt's own, and leaves. Jesse eventually calls Walt and says he agrees to the partnership.
At the DEA office, Hank admits to assaulting Jesse, resulting in him being suspended without pay and having his gun confiscated. As Hank departs, he learns Jesse is not pressing charges after all. Later, Hank sits in an SUV in a parking lot when he gets a phone call and an electronically-disguised voice tells Hank that he has one minute to leave before two men come to kill him. Hank wonders if it is a prank call, but Leonel and Marco arrive and ambush Hank. He reverses his car into Leonel, pinning him against another car and maiming him from the waist down, then flees with Leonel's gun. Marco empties his gun at a passerby and reloads, dropping the hollow-point bullet in the process, before eventually knocking Hank down with gunshots. Marco decides to kill Hank with his axe and goes to retrieve it from his car. Hank arduously loads the nearby hollow-point bullet into Leonel's gun and kills Marco with a gunshot to the head before he can swing the axe down. Marco's axe lands next to Hank, who falls unconscious from massive blood loss.
",https://en.wikipedia.org/wiki/One_Minute_(Breaking_Bad)
28,3,8,I See You,"As Jesse Pinkman is leaving the hospital after Hank Schrader's attack on him, he sees Hank being admitted in critical condition with four gunshot wounds. Jesse smiles to himself as Skinny Pete picks him up, satisfied at the karmic justice.
Walter White tells a confused and upset Gale Boetticher that they are not working well together and he is being replaced. Jesse then shows up at that moment, much to Walt's dismay, and displays his uncouth and unprofessional personality as he admires the lab, which confuses Gale even further, realizing that this is his replacement. As he leaves, Victor reminds Walt to not fall behind on their weekly quota.
Jesse informs Walt about Hank's condition, and Walt immediately leaves for the hospital. Walt catches up with his family while Steve Gomez and George Merkert explain to him that two Cartel hitmen (Leonel and Marco Salamanca) made an attempt on Hank's life. Gomez expresses astonishment that Hank was able to take down both of the assassins without his gun, and this prompts Marie Schrader to question why Hank did not have his gun on him. Merkert explains that Hank had to turn it in following his suspension due to the assault on Jesse. Marie lashes out at both of them, blaming them for leaving Hank defenseless and not backing him up when he needed them most. She also briefly blames Walt, believing that Hank would never have crossed paths with Jesse if Walt had never ""bought marijuana"" from him.
Leonel, his legs now amputated, is being treated in the same hospital as Hank. When Gomez and Walt go to view him from the other side of his door, Leonel recognizes Walt and angrily crawls towards him before eventually being hoisted back to his bed. Walt is startled by this and realizes that he might have been their intended target.
Gus Fring receives a call from Juan Bolsa. The attempted hit on a DEA agent has prompted the Mexican government to crack down on the Cartel and for the border to be monitored with more scrutiny, forcing him to lie low in Mexico. Bolsa is suspicious that Gus was the one who orchestrated the hit, as Marco and Leonel would not have attacked a DEA agent without approval. He tells Gus that he intends to get the truth from Leonel as to who permitted them to act.
Walt spends the day at the hospital while Jesse remains at the lab, waiting for him to return so that they can resume cooking to meet their quota. Walt eventually receives a call from Gus to check in on their progress. Not wanting to give any information that might reveal that his brother-in-law is a DEA agent, Walt lies about why they are falling behind, saying that Gale has set them back significantly, and to make up for it, he promises to produce 400 pounds (180 kg) of meth next week. Gus agrees to this.
Walt is horrified when Gus suddenly shows up at the hospital, bringing free food from Los Pollos Hermanos as a show of his support for the DEA. Gus meets the rest of Walt's family and relates to the time when he first met Hank,[a] revealing to Walt that Gus already knew that his brother-in-law was in the DEA. Walt speaks privately with Gus, assuring him that Hank is not a problem for their business. Gus subtly tells him that Leonel will not be a problem anymore. As he leaves, Leonel suddenly goes into cardiac arrest and dies. Mike Ehrmantraut is then shown disposing of a syringe and leaving unnoticed, the whole appearance of Gus a distraction for him to do his job, and Gomez celebrates.
Later that night, Gus receives another call from Bolsa, whose house is now surrounded by Mexican federales. With Leonel now dead, Bolsa is convinced that Gus is behind all of this, and he vows that the Cartel will seek retaliation against him, but is interrupted by the federales. His bodyguards investigate and are brought down by gunfire. As Bolsa attempts to escape, he is shot to death.
",https://en.wikipedia.org/wiki/I_See_You_(Breaking_Bad)
29,3,9,Kafkaesque,"Walter White and Jesse Pinkman are now in full production in the new lab and are easily producing 200 pounds of meth each week, as per their quota. Jesse finds that they're even overproducing, and is resentful when Walt refuses to allow him to remove the extra pounds from the shipment, particularly since he has calculated that Gus Fring will net at least $96 million by the end of their three-month contract, while the two of them are receiving only a combined payment of $3 million despite doing all of the work. Walt, however, is unconcerned by this and simply brushes off Jesse's complaints as him being unappreciative.
Hank Schrader is still recovering in the hospital, and Steve Gomez shows up to tell him that the blue meth has made a comeback in several states, thus confirming Hank's suspicions that Heisenberg has not yet been captured. Hank is nevertheless dissatisfied, and reveals that the only reason he's still alive is that he got a warning call a minute before his would-be assassins attacked him. Instantly suspicious of Walt, Skyler White asks him if they, and he, are safe. Walt assures her that they are.
Though Hank is now conscious and functioning, his legs are mostly paralyzed, and the prognosis is that he may not be able to walk again, even with months of physical therapy. His doctor tells Marie Schrader that the therapy he needs is unlikely to fall within their insurance plan; if they paid out of pocket, it could end up costing them tens of thousands of dollars.
Walt meets with Gus at his distribution center to ""clear the air."" Hank's revelation that he received a phone call before the attack has led Walt to the conclusion that Gus was the one who diverted the Cartel assassins away from him and directed them towards Hank, since an attempted hit on a DEA agent would get the American and Mexican governments to crack down hard on the Cartel and restrict the illegal importing of meth from across the border, thereby granting Gus complete control over the market as the blue meth is produced domestically. Despite having put Hank's life in jeopardy, Walt nevertheless expresses gratitude towards Gus for saving his own life and commends him for his strategy, saying that he'd have done the same in Gus' position. He also brings up the issue of not knowing what will happen when his three-month contract has expired. Gus promises him security for his family and also brings up the possibility of extending their contract to a year, which would increase his earnings to $12 million, although Gus offers a raise to $15 million. Walt considers it, but on the drive back, decides to close his eyes and veer into traffic before diverting out of harm's way at the last second.
Saul Goodman encourages Jesse to purchase a nail salon which he can use to launder the money he makes from the meth business. Jesse flatly refuses, especially since doing so would require him to report his income to the IRS and thereby pay taxes. Tired of having to adhere to the quotas and responsibilities within his new job, and wanting a larger cut of the profits, Jesse decides to steal the leftover pounds of meth that he and Walt produce in the lab to sell separately to the members of his rehab support group. He enlists Badger and Skinny Pete in this endeavor, and during a meeting, they pose as two new members and initiate a conversation within the group where they mention the blue meth, piquing everyone's interest in it.
Marie becomes increasingly frustrated about being unable to find a means to pay for Hank's physical therapy, as their insurance will not cover it. Skyler finally offers to pay their bills directly using Walt's money. She fabricates a story of Walt being a compulsive blackjack gambler, saying that this has been the cause of their recent marital problems. She explains that Walt took to gambling to pay his medical bills after his cancer diagnosis, and after some losses, his winnings have netted them an amount with seven figures. Marie is left shocked and appalled but agrees to take their money to pay for Hank's therapy.
Walt expresses surprise in Skyler's ability to come up with such an elaborate story on the fly. Skyler tells Walt that she ""learned from the best"" and added that she believes he is somehow responsible for the attack on Hank, and that she is ""not forgetting that.""
",https://en.wikipedia.org/wiki/Kafkaesque_(Breaking_Bad)
30,3,10,Fly,"Walter White, suffering from insomnia, stares up at his smoke detector's red flashing status light while trying to get back to sleep. Later, he arrives with Jesse Pinkman at the meth lab, where they begin making another batch of meth. At the end of the day, Walt calculates that their yield, while above what they are required to produce, falls short of what he expects. Jesse, who has been secretly taking small amounts for personal distribution, suggests it may be from spillage or other losses, but Walt insists there is another reason.
After Jesse leaves for the day, Walt sees a housefly in the lab, which he fears could contaminate the meth-making process. He tries numerous means to swat it, even dangling precariously from the lab's catwalk, from which he slips and falls to the floor. When Jesse returns the next day, he finds Walt still in pain from the fall and insisting that they cannot start cooking until they get rid of the fly. Jesse worries about Walt's lack of sleep and suggests they go outside to figure it out. However, when Jesse leaves, Walt locks him out of the lab and goes back to find the fly. When Jesse disconnects the main power to the lab, Walt lets him back in so they can work together. Jesse gets some flypaper which they hang around the lab, as well as some sleeping pills that he secretly puts into Walt's coffee. He then recounts a story about his late aunt, who experienced auditory hallucinations as a result of her cancer spreading to her brain. Walt asserts that he is still in remission.
As they wait to catch the fly, the two talk about their families. Walt states that he should have died already and tries to think of the perfect moment to have done so: after he had enough money, after his daughter Holly was born, before his surgery and before Skyler knew what he had been doing. He finally decides the perfect moment to die would have been the night Jane Margolis died, telling Jesse of his conversation with her father Donald.[a] He tries to calculate the chances of meeting both father and daughter in different scenarios on the same night despite having never met either beforehand, but finds the odds too astronomical to calculate. Jesse is distracted when he sees the fly near the ceiling. As he tries to use a step-ladder to reach the fly, an increasingly-sleepy Walt seems poised to confess to Jesse about his role in Jane's death. Jesse tells him Jane's death was nobody's fault, but he still misses her. Walt tells him to give up on the fly and start working, decrying that ""it's all contaminated."" Jesse climbs back down and, seeing the fly land on the ladder, swats and kills it.
Jesse takes a sleeping Walt to a couch while he cleans up the lab and prepares for their next batch. They later leave together, but Walt warns Jesse that if he has been skimming from their product, he will not be able to protect him if Gus Fring finds out. Jesse denies taking anything and states that he is not asking anyone to protect him. That night, Walt is awakened by buzzing, and sees a fly landing on the smoke detector's flashing light.
",https://en.wikipedia.org/wiki/Fly_(Breaking_Bad)
31,3,11,Abiquiu,"In a flashback, Jesse Pinkman and Jane Margolis visit the Georgia O'Keeffe Museum and view O'Keeffe's painting My Last Door. They debate its meaning before Jane concludes that O'Keeffe was simply trying to make a good feeling last.
In the present, Hank Schrader is frustrated with his physical therapy. Marie gives Skyler White the therapy bill to pay as they previously discussed. Walter White attempts to pay with drug money, but Skyler insists the source must be ""unimpeachable."" Walt takes her to meet Saul Goodman, who is handling Walt's money laundering. Skyler is put off by his flippant personality and his scheme to buy a laser tag facility. Instead, she suggests a more believable business investment: the car wash where Walt previously worked. Saul objects, but Skyler offers to help by managing the car wash. Walt worries that this would make her liable for his actions, but she reveals she never filed for divorce, so spousal privilege will apply.
Walt warns Jesse to stop skimming from the meth they produce. Jesse takes what he has stolen to Badger Mayhew and Skinny Pete so they can sell it at a Narcotics Anonymous (NA) meeting. They are hesitant to sell to recovering addicts, so Jesse shows how easy it is by striking up a conversation with newcomer Andrea Cantillo. He soon becomes attracted to Andrea, and she invites him to her home, where Jesse discovers she has a son, Brock. From Brock, Jesse learns that Andrea has a pre-teen brother, Tomás, although she initially refuses to talk about him. Andrea later suggests they use meth, but Jesse declines now that he knows she has a child. Andrea insists she wants to avoid having Brock go down the same path as Tomás, who shot a rival dealer as part of a drug gang initiation. Jesse recognizes that the story matches details of Combo's murder a few months prior.[a]
Gus invites Walt to his home for a private dinner. He tells Walt he regrets not having a mentor and warns him to never make the same mistake twice. The next day, Jesse travels to the corner where Combo was killed. He finds Tomás there, and while buying meth from him, sees the faces of the drug dealers who rule the territory. Jesse quietly walks away, enraged.
",https://en.wikipedia.org/wiki/Abiquiu_(Breaking_Bad)
32,3,12,Half Measures,"Skyler White pushes Walt to accept her plan of laundering his drug money through the car wash. Meanwhile, Jesse Pinkman begins to plot against the drug dealers who killed Combo Ortega. Having bought the blue meth from the gang responsible, confirming that Combo's killers work for Gus Fring, Jesse tells Walt and asks him to make ricin to exact revenge. Although Walt appears troubled by the gang's use of children, he dismisses the plan. Jesse replies he will kill them with or without help.
Convinced Jesse is likely to do something rash, Walt visits Saul Goodman and they plan to have Jesse jailed, albeit briefly, to cool down. Meanwhile, Marie Schrader wheels Hank out of the hospital, after betting she can arouse him during a sponge bath.
Mike Ehrmantraut makes an unannounced visit to Walt at home and reveals he also works for Gus, who would ""take it as a problem"" if Jesse would be jailed. Mike then tells Walt a story from his years as a cop, in which he laments showing mercy to an alcoholic, continually-abusive husband who subsequently killed his wife. Mike tells Walt he chose a ""half measure"" by giving the husband a warning instead of killing him on the spot, and warns: ""No more half measures, Walter.""
Jesse plants ricin in hamburgers intended for Gus' dealers but is unable to find them at their usual location. He is stopped by Mike and Victor who bring him to a meeting with Gus, Walt, and the two targeted dealers. After tense negotiations, Gus promises his dealers will stop using children as pawns, and Jesse reluctantly promises to ""keep the peace."" On their way back, Walt tries to calm down the furious Jesse, who refuses to respond.
That night, Tomás, the eleven year old boy who was dealing drugs, is killed. Tomás' sister Andrea rushes to the scene along with Jesse, who realizes the two street dealers have executed Tomás, as he is no longer of value to them. The next day, Jesse fails to show up for a cooking session with Walt, who decides to start without him. During dinner with his family, Walt learns about Tomás' murder on TV and abruptly leaves his house.
Jesse watches the dealers from afar and snorts meth for the first time since rehab, breaking his sobriety. He draws his gun and slowly approaches the two dealers, who draw their own guns and prepare for a confrontation. Suddenly, Walt plows into both dealers with his car, killing one and badly injuring the other. Walt gets out of his car, picks up the injured dealer's gun, and shoots him in the head, killing him. Walt then tells an utterly shocked Jesse one word: ""Run.""
",https://en.wikipedia.org/wiki/Half_Measures
33,3,13,Full Measure,"In a flashback to 1993, Walter and Skyler White, who's pregnant with Walter Jr., are shown by a realtor the house where they will eventually live. Walt, then working at the prestigious Sandia Laboratory, envisions a bright future with three children and worries that they are not setting their sights high enough with the ""starter house"".
In the present, after Jesse Pinkman goes on the run, Walt meets with Gus Fring and Mike Ehrmantraut to negotiate for his and Jesse's safety. Walt pleads with Gus to tolerate the incident, let him return to cooking and agree to forget about Jesse. Gus accedes but informs Walt that he will be choosing Jesse's replacement.
The next day, Walt arrives at the lab and discovers that Gale Boetticher has been reinstated as his partner, and Victor now supervises them constantly. That evening, Gus visits Gale at his apartment and informs him of Walt's cancer. Gus tells Gale he must learn Walt's method to prepare for the ""worst-case scenario.""
Mike demands Jesse's location from Saul Goodman, who refuses to cooperate. When Mike physically threatens him, Saul allows Mike to look at a notebook containing a fake address for a trailer park in Virginia. Later, Walt and Saul meet with Jesse, who is hiding in a local laser tag arcade. Walt informs Jesse of his situation and explains that when Gale is confident enough to take over, they will be disposed of. They decide they must kill Gale and debate over who should do it. After Jesse says that he is not a murderer, Walt says he will do the job, and Jesse only needs to find Gale's address. Later that evening, Jesse calls Walt and tells him the address.
As Walt is leaving his home to kill Gale, Victor arrives and claims there is a chemical leak at the lab. Walt suspects a setup but is forced to go with Victor. Upon arriving at the laundromat, Walt sees Mike, confirming his suspicions. Pleading for his life, Walt offers to give them Jesse. Mike demands Jesse's location, but Walt says he needs to call him and set up a meeting. When Jesse answers the call, Walt tells Jesse to kill Gale before Victor and Mike can wrestle the phone away from him. When Walt quotes Gale's address to them, they realize what he has told Jesse to do. Victor hurriedly leaves; Mike stays with Walt and attempts to warn Gale, but Gale does not notice his phone ringing. Jesse arrives at Gale's apartment and pulls a gun on him. Gale begs for his life, but a tearful and shaking Jesse reluctantly pulls the trigger.
",https://en.wikipedia.org/wiki/Full_Measure_(Breaking_Bad)
34,4,1,Box Cutter,"In a flashback,[a] methamphetamine manufacturer Gale Boetticher excitedly sets up equipment in an underground meth superlab for Gus Fring. Gale asks Gus about the blue meth being produced by chemist Walter White. Gus explains he has reservations about hiring Walt, but Gale insists Gus hire him because of his superior product.
In the present, following Walt's order, Jesse Pinkman has killed Gale[b] to foil Gus' plot to kill them. Gus' henchman Victor arrives at Gale's apartment and finds him dead, surrounded by neighbors who have called the police. Victor finds Jesse sitting in his car and forces him to return to the lab, where Mike Ehrmantraut is holding Walt. Mike is concerned that Victor was seen at Gale's apartment and calls to inform Gus. Victor realizes his own position is precarious and reveals he observed Walt and Jesse's work by starting to cook meth himself.
Skyler White observes Walt's car in her driveway and moves it a few blocks away so Walter White Jr. will not see it. She calls Saul Goodman to ask where Walt is, but Saul is paranoid because of Walt's falling out with Gus and is busy checking his office for listening devices. Skyler breaks into Walt's condominium with the aid of a locksmith but finds little of interest. Marie Schrader struggles to maintain her composure while caring for a belligerent Hank Schrader, who is still bedridden after the attempt on his life.[c]
Gus arrives at the lab but says nothing. Walt launches into a rambling monologue, hoping to convince Gus he needs him and Jesse alive. Gus maintains his silence while changing into hazmat gear and picking up the box cutter Gale used during the lab setup. He startles everyone by slicing Victor's throat, then coldly eyes Walt and Jesse. He quietly returns to his street clothes, then walks out, pausing only to say, ""Get back to work.""
Walt and Jesse use hydrofluoric acid to dispose of Victor's body, the gun that killed Gale, and the box cutter. During breakfast, Walt insists Gale's death was necessary, but expresses concern that Gus will kill them at his next opportunity. Jesse believes it will be too much trouble for Gus to find another drug manufacturer, though Gus might make them wish they were dead. Police investigate Gale's apartment with his lab notebook sitting out in the open.
",https://en.wikipedia.org/wiki/Box_Cutter_(Breaking_Bad)
35,4,2,Thirty-Eight Snub,"Walter illegally purchases a .38-caliber snubnosed revolver, which he intends to use to kill Gus, because he believes Gus will kill him if he does not act first. Mike drinks coffee at a bar and discovers Victor's dried blood on his jacket sleeve. Jesse has purchased expensive electronics, including a sophisticated sound system, but remains miserable after having murdered Gale. In an attempt to get over Gale's death, Jesse has Badger and Skinny Pete arrange a multi-day party with dozens of people dancing, drinking, and doing drugs.
While cooking meth at the lab, Walt waits for Gus to arrive so he can kill him. Instead, Victor's replacement Tyrus arrives with Mike, and Mike informs Walt he will never see Gus in person again. That night, Walt drives to Gus' house, but before he can approach, he receives a call from Tyrus,[1] who says simply, ""Go home, Walter."" The next day, Walt approaches Mike at the bar, and Mike says he observed Walter tailing him there. Mike reveals that in the lab, he could tell Walt was carrying the pistol. Walt suggests Mike and he are in the same danger because Gus could easily kill Mike the same way he killed Victor. Walt asks Mike to put him in a room with Gus so Walt can kill him. Mike punches Walt, knocks him to the floor, kicks him several times, then leaves the bar.
Skyler calls Walt to inquire about buying the car wash where he once worked, which they plan to use as a front business for Walt's drug money. Walt fails to act, so Skyler does her own detailed research about the business's expenses and revenues. She later approaches Bogdan about buying it, but he angrily rejects her and condemns Walt for insulting him when Walt quit working there.
Marie struggles with Hank's deepening depression as he continues his post-shooting physical therapy. The bedridden and bitter Hank constantly ignores or insults Marie and even after he celebrates a successful session with his physical therapist, he refuses to share the excitement with Marie.
After three straight days of partying, Badger and Skinny Pete are exhausted and go home, as do all the other partiers at Jesse's house. Alone with his thoughts, a depressed Jesse breaks down while sitting less than an inch away from his sound system's speakers, which are turned to high volume.
",https://en.wikipedia.org/wiki/Thirty-Eight_Snub
36,4,3,Open House,"While preparing for his next meth cook, Walter becomes furious after noticing a surveillance camera has been installed in the lab. Later that day, Skyler and Walt meet with Saul and Skyler convinces Walt to buy the car wash by mentioning how Bogdan insulted his manhood. She devises a plan to trick Bogdan into selling by having Saul's con artist acquaintance Patrick Kuby pretend to be a United States Environmental Protection Agency representative who is shutting down the business out of concern over contaminants. Bogdan begrudgingly sells to her, even agreeing to a lower price than her original offer.
Jesse is still feeling numb from recent events and attempts to clear his head with nostalgic go-kart trips. He continues to open his house for all-night drug-fueled orgies, and deliberately throws piles of money in the midst of the chaos. Tyrus Kitt surveils Jesse's house from a nearby car.
Frustrated by Hank's continuous cold shoulder, Marie resumes her streak of kleptomania. After a series of thefts from real-estate open houses, during which she also makes up elaborate stories about her background, she is caught by a real estate agent who recognizes her from a previous incident. A livid Hank pulls strings with his friend Detective Tim Roberts to get her out of being charged. Roberts drops by the Schrader residence to seek Hank's help and gives him a photocopy of Gale's lab notebook. Hank initially shoves the notebook away but begins to read it later that night.
",https://en.wikipedia.org/wiki/Open_House_(Breaking_Bad)
37,4,4,Bullet Points,"Mike Ehrmantraut is riding in the cargo compartment of a Los Pollos Hermanos refrigerator truck when it is forced off a rural road by a pair of hijackers. Mike listens as the gunmen kill the driver, then takes cover as they shoot up the cargo compartment. When the gunmen open the cargo doors, Mike immediately shoots and kills them. After he steps out of the truck, he finds that a bullet has grazed his right ear.
During a family dinner at Hank and Marie Schrader's, Walter and Skyler White tell everyone a story about Walter having a successful card counting method to explain how they can pay for Hank Schrader's medical bills and purchase the car wash. Under the guise of using the bathroom, Walt enters Hank's bedroom and finds the case file on Gale Boetticher's murder. Perusing quickly, he finds photos of Gale's body as well as the photocopy of Gale's notebook. Hank later tells Walt he is investigating Gale's murder and believes Gale was Heisenberg. When asked by Hank to read from Gale's notebook, Walt notices a line from a Walt Whitman poem and a dedication to ""W. W."" When Hank mentions the initials matching Walt's, Walt jokingly admits ""you got me,"" before telling Hank that ""W. W."" refers to the poet.
Walt is disgusted by the condition of Jesse Pinkman's home, which is now being used as a crack house. Jesse admits he did not pick up the shell casing when he shot Gale, which could connect him to the shooting. Walt later laments to Saul Goodman that the meth business is falling apart because no one is acting professionally, and rejects an offer to go into hiding.
Jesse's complacency leads to all of his meth money being stolen, though he appears unbothered by the loss. Mike quickly recovers it and later tells Gus Fring that Jesse's lack of professionalism is a problem for the organization. Jesse does not appear at the lab the next day and Walt realizes he has been kidnapped. Mike drives Jesse to an unknown destination. When he asks Jesse if he would like to know where they are going, Jesse simply replies ""nope.""
",https://en.wikipedia.org/wiki/Bullet_Points_(Breaking_Bad)
